Frontier-arbiter rule simulation — 1489 stored turns from 4 duels (dropped {'lt3_frontier': 70, 'no_greedy': 18, 'no_echo': 23}); frontier = engy glm-5.2 (3 samples @T0.8 + greedy); teacher echoes only, tau=0.03
new-attack echo subset: 203 turns, 8130 Engy teacher echoes (qwen3.8-27b, canonical rendering), $2.07 (7426 echoes / $1.89 recorded by completed runs; the rest priced at that rate) (honest king re-echoed on the same turns so attack comparisons are same-source)

DEFINITIONS
  gate <method>/<F>: F disagrees when its action differs from ALL k teacher refs — exact (norm_action), jacθ (best token-Jaccard < θ),
    surθ (lpC(y_F|∅) < min_i lpC(y_C^i|∅) − θ per byte); F = G (one greedy sample) or S (3 samples @T0.8, strict majority must disagree).
  agree branch = live min(R,G), band_c 4.0 (live_c2 = the stored era's 2.0); disagree branch = the alt:
    act:<sim>:<s> = [mean_j sim(y_A,y_F^j) − mean_ij sim(y_C^i,y_F^j)] × s × sd(live turn scores of the dialect); sim jaccard or exact (0/1)
    RF = centered tempered LME_j[lpC(y_F^j|z_A) − lpC(y_F^j|∅)]; V = mean_j f_j − mean_i a_i; AF = LME_j[lpC(y_A|z_F^j) − lpC(y_A|∅)]
    minRFG = min(RF, G); minVG = min(V, G). Echo-space alts always use the 3 sampled F refs; act uses the gate's F set.
  |sd = every leg standardised per dialect by (mu, sd) of the TEACHER's own leave-one-out values (R, RF, V, act; AF anchored on king+challenger,
    no teacher_own echo exists); thought leg = 2 − |m − mean(t_i)|/sigma_t with sigma_t = pooled within-turn sd of t_i per dialect.
    No cross echoes lpC(y_C^i|z_C^j), i≠j, exist in this data, so the anchor is the teacher's ref-0 thought on refs 1..2 (one LOO value per turn).
  wB_<mode>/<F> = variant B: teacher refs weighted by mean Jaccard to the F set (softmax at T or hard 1[sim≥0.5]); R = weighted centered LME, G from weighted mu/sd.
  HEADROOM (leave-one-out: ref 0 and F sample 0 dropped everywhere, so every family is scored on k−1=2 teacher refs and 2 F refs):
    mean turn score per family; z(F−T) = paired mean(F_own − T_own)/SE; z(T−K) likewise; dis% = disagree-branch rate on the LOO gate.
  NOISE (full refs, live pairing): margin = mean(chal − king); SE = sd/√n; z = margin/SE; bSE/live = bootstrap SE ÷ that of the same-units
    live rule (live_c4 raw, live_sd sd); |z|/|z0| = |z| ÷ |z of live_c4| (how much of the live separation of these losing challengers survives);
    rho = Spearman of per-turn (chal − king) vs live_c4; dis% = gate rate; varD = share of Σ(d−d̄)² carried by disagree turns.
    minAG = min(act:jaccard:1, G), minAFG = min(AF, G): G (or typ) still bounds the disagree branch.
  ATTACKS (king's thought or action replaced): ≤king% = turns where attack ≤ honest king (ties count); harmless if ≥ 85%. '=' = exact-tie share.
    filler/generic/parrot(sampled y_F^0 pasted): stored swarm echoes, all turns. fparrotG (greedy y_F pasted into the thought), copyF (action := greedy y_F),
    lscmd/catcmd (action := `ls -la` / `cat <first file in prefix>`, bash only): Engy echoes on the subset; copyF/ls/cat on ALL turns for action-space alts.

== GATE RATES (fraction of turns where F disagrees with all teacher refs) ==
set            n    exact/G    exact/S   jac0.5/G   jac0.5/S   jac0.3/S  sur0.02/G  sur0.02/S   jac0.3/G   | yG=any yF  yG~yF  F self  C self  C~F  F all same
ALL         1489      73.6%      73.9%      34.6%      34.7%      21.2%      22.8%      23.2%      21.4%   |      54%   0.71    0.69    0.61  0.51      28%
bash         992      80.5%      81.4%      45.2%      45.9%      30.3%      21.0%      19.8%      30.3%   |      54%   0.66    0.63    0.53  0.41      24%
boxed        156       7.1%       5.1%       0.0%       0.0%       0.0%       6.4%       5.8%       0.0%   |      98%   0.98    0.98    0.99  0.98      87%
tool_call    341      83.9%      83.6%      19.6%      18.2%       4.4%      35.5%      41.1%       5.3%   |      36%   0.74    0.70    0.68  0.62      11%
  (yG=any yF: greedy action exactly equals one of the 3 samples; ~: mean token-Jaccard; self = sample 0 vs samples 1..2)

== TEST 1 HEADROOM (leave-one-out; the arbiter's point is F_own > T_own) ==
-- ALL --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
sur0.02/G|RF                 -0.0063   48%  0% -0.0001  100% 100%                 -                 -
sur0.02/G|V                  -0.0083   43%  0% -0.0040  100% 100%                 -                 -
sur0.02/G|AF                 -0.0117   67% 35% +0.0004   76% 65%                 -                 -
sur0.02/G|minRFG             -0.0265   50%  0% -0.0020  100% 100%                 -                 -
sur0.02/G|minVG              -0.0267   46%  0% -0.0055  100% 100%                 -                 -
sur0.02/G|minAFG             -0.0279   59% 15% -0.0021   78% 74%                 -                 -
sur0.02/S|act:jaccard:0.5    -0.0078   61% 24% +0.0006   85% 76%                 -                 -
sur0.02/S|act:jaccard:1      -0.0041   61% 24% +0.0037   85% 76%                 -                 -
sur0.02/S|act:jaccard:2      +0.0035   61% 24% +0.0098   85% 76%                 -                 -
sur0.02/S|act:exact:1        -0.0116   61% 24% +0.0057   96% 96%                 -                 -
sur0.02/S|minAG              -0.0262   57%  9% -0.0019   89% 83%                 -                 -
sur0.02/S|RF                 -0.0051   48%  0% -0.0004  100% 100%                 -                 -
sur0.02/S|V                  -0.0072   39%  0% -0.0048  100% 100%                 -                 -
sur0.02/S|AF                 -0.0126   61% 24% -0.0017   85% 76%                 -                 -
sur0.02/S|minRFG             -0.0263   50%  0% -0.0019  100% 100%                 -                 -
sur0.02/S|minVG              -0.0261   48%  0% -0.0056  100% 100%                 -                 -
sur0.02/S|minAFG             -0.0278   57%  9% -0.0033   85% 80%                 -                 -
exact/S|act:jaccard:1|sd     -0.0272   93% 89% +0.5375   39% 20%                 -                 -
exact/S|minAG|sd             -1.1269   80% 46% +0.0592   50% 37%                 -                 -
exact/S|V|sd                 +0.3766   30%  0% +0.0758  100% 100%                 -                 -
exact/S|minRFG|sd            -0.9031   57%  0% -0.2738  100% 100%                 -                 -
exact/S|minVG|sd             -0.7689   48%  0% -0.1568  100% 100%                 -                 -
jac0.5/G|act:jaccard:1|sd    -0.6753   67% 15% +0.4868   85% 85%                 -                 -
jac0.5/G|minAG|sd            -0.8151   61%  7% -0.1758   93% 93%                 -                 -
jac0.5/G|V|sd                -0.8095   54%  0% -0.1843  100% 100%                 -                 -
jac0.5/G|minRFG|sd           -0.8959   59%  0% -0.2756  100% 100%                 -                 -
jac0.5/G|minVG|sd            -0.9078   54%  0% -0.2926  100% 100%                 -                 -
sur0.02/S|act:jaccard:1|sd   -0.2627   65% 24% -0.0931   85% 76%                 -                 -
sur0.02/S|minAG|sd           -0.8968   61%  9% -0.2025   89% 83%                 -                 -
sur0.02/S|V|sd               -0.2444   43%  0% -0.2525  100% 100%                 -                 -
sur0.02/S|minRFG|sd          -0.8952   57%  0% -0.2445  100% 100%                 -                 -
sur0.02/S|minVG|sd           -0.8586   52%  0% -0.2837  100% 100%                 -                 -
wB_soft0.1/G                 -0.0286   50%  0% -0.0073  100% 100%                 -                 -
wB_soft0.3/G                 -0.0268   50%  0% -0.0046  100% 100%                 -                 -
wB_hard0.5/G                 -0.0369   46%  0% -0.0152  100% 100%                 -                 -
wB_soft0.1/S                 -0.0258   48%  0% -0.0055  100% 100%                 -                 -
wB_soft0.3/S                 -0.0250   48%  0% -0.0037  100% 100%                 -                 -
wB_hard0.5/S                 -0.0337   50%  0% -0.0127  100% 100%                 -                 -
B licence (B = lpC(y|z) − lpC(y|∅) ≥ 0.02 and no z⊃y leakage): king: B +0.0228 pass 41%; copyF: B -0.0071 pass 12% leak 1%; fparrotG@echo: B +0.0056 pass 7% leak 80%; king@echo: B +0.0193 pass 35% leak 2%
copy-frontier payoff [all, n=341]: greedy exactly equals a sampled y_F on 36%, best Jaccard ≥0.5 on 93%; s_A(jac) copyF +0.120 vs king +0.008 chal +0.008; s_A(exact) copyF +0.109 king -0.001
copy-frontier payoff [disagree(exact/S), n=285]: greedy exactly equals a sampled y_F on 28%, best Jaccard ≥0.5 on 92%; s_A(jac) copyF +0.141 vs king +0.016 chal +0.015; s_A(exact) copyF +0.127 king +0.020

== TEST 4 RANGE (gate-threshold sweep; full-ref noise + LOO headroom) ==
-- ALL --
gate       alt              rate   varD bSE/live    rho z_margin  z(F-T)  z(F-K)  z(T-K)
jac0.1/G   act:jaccard:1   10.3%   0.00     0.93 +0.938    -6.29  -13.35  -10.87   +4.60
jac0.1/G   V               10.3%   0.03     0.95 +0.871    -6.17   +2.67   +3.02   +0.36
jac0.1/G   minRFG          10.3%   0.00     0.95 +0.937    -6.31  -15.77  -12.76   +5.00
jac0.1/S   act:jaccard:1    9.5%   0.00     0.90 +0.935    -6.29  -14.01  -11.43   +4.67
jac0.1/S   V                9.5%   0.03     0.92 +0.879    -6.10   +1.39   +1.98   +1.03
jac0.1/S   minRFG           9.5%   0.00     0.90 +0.941    -6.29  -15.78  -12.94   +4.76
jac0.2/G   act:jaccard:1   16.1%   0.01     0.96 +0.882    -6.32  -11.98   -9.77   +4.21
jac0.2/G   V               16.1%   0.03     0.87 +0.809    -6.10   +5.01   +4.79   -0.97
jac0.2/G   minRFG          16.1%   0.01     0.91 +0.898    -6.31  -15.80  -12.79   +4.98
jac0.2/S   act:jaccard:1   15.4%   0.01     0.92 +0.874    -6.29  -12.81  -10.60   +4.19
jac0.2/S   V               15.4%   0.03     0.94 +0.794    -6.11   +3.40   +3.42   -0.43
jac0.2/S   minRFG          15.4%   0.01     0.96 +0.903    -6.30  -15.74  -12.90   +4.78
jac0.3/G   act:jaccard:1   21.4%   0.01     0.96 +0.821    -6.05  -10.03   -8.15   +3.47
jac0.3/G   V               21.4%   0.04     0.92 +0.746    -5.91   +6.27   +5.78   -1.50
jac0.3/G   minRFG          21.4%   0.07     0.94 +0.849    -6.32  -15.91  -12.93   +5.01
jac0.3/S   act:jaccard:1   21.2%   0.01     0.93 +0.801    -6.18  -10.93   -9.16   +3.46
jac0.3/S   V               21.2%   0.04     0.93 +0.719    -5.99   +5.09   +4.75   -1.28
jac0.3/S   minRFG          21.2%   0.05     0.88 +0.864    -6.32  -15.87  -12.84   +5.05
jac0.4/G   act:jaccard:1   27.7%   0.01     0.87 +0.743    -5.70   -7.37   -6.32   +2.11
jac0.4/G   V               27.7%   0.04     0.86 +0.671    -5.58   +7.72   +7.12   -1.82
jac0.4/G   minRFG          27.7%   0.14     0.92 +0.802    -6.30  -15.89  -12.73   +5.34
jac0.4/S   act:jaccard:1   27.5%   0.01     0.94 +0.732    -5.99   -9.33   -8.00   +2.82
jac0.4/S   V               27.5%   0.04     0.88 +0.656    -5.91   +6.37   +5.86   -1.52
jac0.4/S   minRFG          27.5%   0.07     0.94 +0.811    -6.29  -15.98  -12.84   +5.31
jac0.5/G   act:jaccard:1   34.6%   0.02     0.79 +0.645    -5.36   -5.00   -4.19   +1.53
jac0.5/G   V               34.6%   0.05     0.82 +0.579    -5.30   +9.20   +8.11   -2.73
jac0.5/G   minRFG          34.6%   0.21     0.89 +0.769    -6.30  -15.99  -12.66   +5.61
jac0.5/S   act:jaccard:1   34.7%   0.01     0.78 +0.621    -5.58   -7.39   -6.22   +2.35
jac0.5/S   V               34.7%   0.05     0.84 +0.578    -5.50   +8.05   +7.17   -2.27
jac0.5/S   minRFG          34.7%   0.17     0.92 +0.764    -6.31  -15.86  -12.66   +5.39
jac0.6/G   act:jaccard:1   43.0%   0.03     0.75 +0.536    -4.91   -2.00   -1.90   +0.24
jac0.6/G   V               43.0%   0.07     0.79 +0.490    -4.71  +10.90   +9.63   -3.46
jac0.6/G   minRFG          43.0%   0.34     0.92 +0.727    -6.31  -15.93  -12.77   +5.31
jac0.6/S   act:jaccard:1   43.5%   0.02     0.75 +0.511    -5.14   -4.53   -3.87   +1.27
jac0.6/S   V               43.5%   0.06     0.77 +0.470    -4.85   +9.97   +8.75   -3.28
jac0.6/S   minRFG          43.5%   0.32     0.88 +0.722    -6.29  -15.94  -12.85   +5.16
jac0.7/G   act:jaccard:1   52.0%   0.03     0.71 +0.432    -4.46   +0.63   -0.06   -1.05
jac0.7/G   V               52.0%   0.08     0.66 +0.400    -4.20  +12.21  +10.61   -4.01
jac0.7/G   minRFG          52.0%   0.45     0.94 +0.690    -6.28  -15.88  -12.84   +5.11
jac0.7/S   act:jaccard:1   52.3%   0.02     0.65 +0.418    -4.66   -1.77   -2.02   -0.20
jac0.7/S   V               52.3%   0.08     0.70 +0.388    -4.16  +11.44   +9.96   -3.75
jac0.7/S   minRFG          52.3%   0.42     0.87 +0.674    -6.26  -15.94  -12.87   +5.11
jac0.8/G   act:jaccard:1   60.2%   0.06     0.54 +0.348    -3.55   +2.85   +1.42   -2.08
jac0.8/G   V               60.2%   0.12     0.58 +0.337    -2.95  +13.49  +11.67   -4.38
jac0.8/G   minRFG          60.2%   0.66     0.94 +0.655    -6.28  -15.90  -12.77   +5.26
jac0.8/S   act:jaccard:1   60.4%   0.03     0.49 +0.324    -3.35   +0.32   -0.52   -1.17
jac0.8/S   V               60.4%   0.14     0.55 +0.317    -2.59  +12.47  +10.85   -4.03
jac0.8/S   minRFG          60.4%   0.71     0.95 +0.648    -6.27  -15.93  -12.74   +5.31
jac0.9/G   act:jaccard:1   67.9%   0.08     0.46 +0.258    -3.14   +5.13   +2.93   -3.15
jac0.9/G   V               67.9%   0.16     0.50 +0.269    -2.11  +14.20  +12.16   -4.73
jac0.9/G   minRFG          67.9%   0.75     0.90 +0.623    -6.27  -15.95  -12.76   +5.33
jac0.9/S   act:jaccard:1   68.5%   0.07     0.37 +0.225    -2.48   +3.17   +2.29   -1.30
jac0.9/S   V               68.5%   0.23     0.41 +0.245    -1.20  +13.76  +11.77   -4.62
jac0.9/S   minRFG          68.5%   0.85     0.88 +0.615    -6.27  -15.94  -12.66   +5.45
sur0.005/G act:jaccard:1   33.1%   0.03     0.78 +0.690    -4.95   -3.63   -2.66   +1.51
sur0.005/G V               33.1%   0.03     0.79 +0.637    -4.62   +5.92   +5.03   -2.70
sur0.005/G minRFG          33.1%   0.35     0.88 +0.866    -6.33  -16.13  -13.06   +5.19
sur0.005/S act:jaccard:1   34.5%   0.02     0.60 +0.654    -4.02   -6.76   -5.65   +1.86
sur0.005/S V               34.5%   0.05     0.61 +0.581    -3.47   +4.45   +3.47   -2.28
sur0.005/S minRFG          34.5%   0.57     0.92 +0.853    -6.31  -15.93  -13.18   +4.72
sur0.01/G  act:jaccard:1   28.6%   0.02     0.69 +0.727    -5.14   -4.71   -3.58   +1.79
sur0.01/G  V               28.6%   0.03     0.77 +0.671    -4.82   +4.71   +3.86   -2.36
sur0.01/G  minRFG          28.6%   0.33     0.94 +0.878    -6.33  -16.15  -13.13   +5.09
sur0.01/S  act:jaccard:1   30.0%   0.02     0.67 +0.698    -4.50   -7.17   -5.99   +2.09
sur0.01/S  V               30.0%   0.04     0.72 +0.620    -3.91   +3.53   +2.45   -2.31
sur0.01/S  minRFG          30.0%   0.48     0.90 +0.874    -6.32  -15.97  -13.22   +4.76
sur0.02/G  act:jaccard:1   22.8%   0.02     0.87 +0.787    -5.43   -6.59   -5.37   +2.13
sur0.02/G  V               22.8%   0.03     0.82 +0.719    -5.19   +2.98   +2.31   -1.64
sur0.02/G  minRFG          22.8%   0.24     0.88 +0.896    -6.34  -16.08  -13.07   +5.08
sur0.02/S  act:jaccard:1   23.2%   0.01     0.68 +0.759    -4.71   -8.50   -7.22   +2.36
sur0.02/S  V               23.2%   0.04     0.68 +0.686    -4.28   +1.71   +0.77   -1.63
sur0.02/S  minRFG          23.2%   0.45     0.96 +0.895    -6.34  -15.86  -13.09   +4.75
sur0.05/G  act:jaccard:1   14.0%   0.01     0.85 +0.866    -5.70   -9.99   -8.03   +2.94
sur0.05/G  V               14.0%   0.02     0.88 +0.806    -5.60   -0.13   -1.37   -1.57
sur0.05/G  minRFG          14.0%   0.13     0.92 +0.926    -6.34  -15.96  -13.07   +4.95
sur0.05/S  act:jaccard:1   13.8%   0.01     0.78 +0.849    -5.17  -11.31   -9.62   +3.06
sur0.05/S  V               13.8%   0.02     0.73 +0.786    -4.88   -1.36   -2.45   -1.02
sur0.05/S  minRFG          13.8%   0.32     0.92 +0.924    -6.34  -15.76  -12.95   +4.74
sur0.1/G   act:jaccard:1    7.2%   0.01     0.90 +0.939    -5.84  -12.29   -9.89   +3.94
sur0.1/G   V                7.2%   0.01     0.93 +0.885    -5.81   -4.52   -5.46   +0.21
sur0.1/G   minRFG           7.2%   0.11     0.91 +0.959    -6.33  -15.79  -12.95   +4.81
sur0.1/S   act:jaccard:1    6.1%   0.00     0.82 +0.929    -5.74  -13.49  -11.35   +3.87
sur0.1/S   V                6.1%   0.01     0.82 +0.897    -5.59   -6.06   -6.93   +0.77
sur0.1/S   minRFG           6.1%   0.15     0.91 +0.967    -6.34  -15.71  -12.91   +4.71

-- bash --
gate       alt              rate   varD bSE/live    rho z_margin  z(F-T)  z(F-K)  z(T-K)
jac0.1/G   act:jaccard:1   15.5%   0.01     0.95 +0.899    -0.90   -5.50   -4.27   +1.82
jac0.1/G   V               15.5%   0.80     2.19 +0.794    -0.12   +7.39   +7.07   -1.40
jac0.1/G   minRFG          15.5%   0.16     1.02 +0.899    -1.01   -8.59   -7.04   +2.08
jac0.1/S   act:jaccard:1   14.3%   0.01     0.94 +0.895    -0.90   -6.39   -5.11   +1.89
jac0.1/S   V               14.3%   0.80     2.13 +0.807    +0.35   +6.00   +5.92   -0.79
jac0.1/S   minRFG          14.3%   0.17     1.05 +0.907    -0.86   -8.58   -7.29   +1.75
jac0.2/G   act:jaccard:1   23.8%   0.01     0.88 +0.814    -1.02   -3.93   -2.97   +1.39
jac0.2/G   V               23.8%   0.85     2.17 +0.704    +0.24   +9.65   +8.77   -2.49
jac0.2/G   minRFG          23.8%   0.21     0.98 +0.838    -1.15   -8.62   -7.07   +2.04
jac0.2/S   act:jaccard:1   22.6%   0.01     0.91 +0.802    -0.88   -5.05   -4.32   +1.13
jac0.2/S   V               22.6%   0.84     2.14 +0.683    +0.24   +7.95   +7.37   -2.11
jac0.2/S   minRFG          22.6%   0.24     1.05 +0.850    -0.95   -8.53   -7.22   +1.78
jac0.3/G   act:jaccard:1   30.3%   0.02     0.83 +0.733    -0.82   -3.29   -2.65   +0.96
jac0.3/G   V               30.3%   0.87     2.22 +0.626    +0.13  +10.69   +9.49   -2.93
jac0.3/G   minRFG          30.3%   0.31     0.95 +0.770    -1.21   -8.78   -7.31   +2.03
jac0.3/S   act:jaccard:1   30.3%   0.02     0.80 +0.694    -0.70   -3.89   -3.47   +0.75
jac0.3/S   V               30.3%   0.88     2.36 +0.585    +0.28   +9.54   +8.61   -2.76
jac0.3/S   minRFG          30.3%   0.38     1.03 +0.792    -1.18   -8.73   -7.14   +2.15
jac0.4/G   act:jaccard:1   38.1%   0.03     0.79 +0.649    -0.60   -1.96   -1.48   +0.74
jac0.4/G   V               38.1%   0.90     2.33 +0.545    +0.08  +11.79  +10.58   -2.97
jac0.4/G   minRFG          38.1%   0.37     0.97 +0.698    -1.13   -8.76   -7.04   +2.40
jac0.4/S   act:jaccard:1   38.5%   0.03     0.78 +0.611    -0.39   -2.82   -2.83   +0.11
jac0.4/S   V               38.5%   0.90     2.38 +0.504    +0.02  +10.57   +9.37   -2.89
jac0.4/S   minRFG          38.5%   0.44     1.01 +0.717    -0.93   -8.89   -7.16   +2.43
jac0.5/G   act:jaccard:1   45.2%   0.04     0.75 +0.552    -0.41   -0.71   -0.53   +0.27
jac0.5/G   V               45.2%   0.91     2.44 +0.441    +0.07  +12.79  +11.15   -3.65
jac0.5/G   minRFG          45.2%   0.44     0.99 +0.661    -1.11   -8.85   -6.95   +2.65
jac0.5/S   act:jaccard:1   45.9%   0.04     0.72 +0.504    -0.47   -1.97   -2.23   -0.27
jac0.5/S   V               45.9%   0.92     2.39 +0.423    -0.19  +11.82  +10.36   -3.35
jac0.5/S   minRFG          45.9%   0.51     1.00 +0.656    -1.19   -8.70   -6.95   +2.41
jac0.6/G   act:jaccard:1   53.4%   0.06     0.71 +0.451    -0.58   +1.04   +1.04   -0.02
jac0.6/G   V               53.4%   0.92     2.40 +0.373    +0.20  +13.94  +12.15   -3.77
jac0.6/G   minRFG          53.4%   0.48     0.98 +0.611    -1.24   -8.76   -7.08   +2.29
jac0.6/S   act:jaccard:1   54.4%   0.05     0.70 +0.403    -0.33   -0.16   -0.53   -0.52
jac0.6/S   V               54.4%   0.93     2.48 +0.330    +0.16  +13.19  +11.45   -3.70
jac0.6/S   minRFG          54.4%   0.55     1.03 +0.603    -0.87   -8.78   -7.19   +2.12
jac0.7/G   act:jaccard:1   63.0%   0.08     0.71 +0.352    -0.86   +2.51   +2.05   -0.81
jac0.7/G   V               63.0%   0.93     2.48 +0.288    +0.05  +14.79  +12.78   -4.04
jac0.7/G   minRFG          63.0%   0.54     0.98 +0.564    -0.80   -8.76   -7.15   +2.20
jac0.7/S   act:jaccard:1   63.3%   0.07     0.66 +0.322    -0.25   +1.22   +0.62   -0.93
jac0.7/S   V               63.3%   0.94     2.69 +0.253    +0.27  +14.15  +12.31   -3.82
jac0.7/S   minRFG          63.3%   0.60     0.99 +0.544    -0.61   -8.81   -7.23   +2.10
jac0.8/G   act:jaccard:1   70.5%   0.10     0.71 +0.283    -0.51   +3.55   +3.32   -0.50
jac0.8/G   V               70.5%   0.94     2.59 +0.241    +0.29  +15.48  +13.44   -4.05
jac0.8/G   minRFG          70.5%   0.56     0.98 +0.527    -0.76   -8.73   -7.03   +2.30
jac0.8/S   act:jaccard:1   70.4%   0.09     0.65 +0.263    -0.05   +2.20   +1.52   -1.11
jac0.8/S   V               70.4%   0.94     2.67 +0.223    +0.42  +14.77  +12.92   -3.82
jac0.8/S   minRFG          70.4%   0.62     0.97 +0.515    -0.61   -8.82   -7.03   +2.35
jac0.9/G   act:jaccard:1   77.1%   0.14     0.58 +0.202    -0.36   +4.32   +4.05   -0.46
jac0.9/G   V               77.1%   0.95     2.57 +0.179    +0.37  +15.66  +13.63   -4.04
jac0.9/G   minRFG          77.1%   0.68     0.98 +0.486    -0.68   -8.85   -7.07   +2.42
jac0.9/S   act:jaccard:1   78.2%   0.13     0.54 +0.176    +0.27   +3.54   +2.79   -1.22
jac0.9/S   V               78.2%   0.96     2.45 +0.160    +0.60  +15.42  +13.35   -4.11
jac0.9/S   minRFG          78.2%   0.74     0.98 +0.477    -0.48   -8.90   -6.99   +2.55
sur0.005/G act:jaccard:1   30.4%   0.03     0.90 +0.779    -1.01   -4.56   -3.62   +1.41
sur0.005/G V               30.4%   0.72     1.59 +0.675    +0.49   +8.03   +7.27   -2.64
sur0.005/G minRFG          30.4%   0.29     1.07 +0.852    -1.33   -9.08   -7.51   +2.21
sur0.005/S act:jaccard:1   31.0%   0.02     0.90 +0.758    -1.20   -5.05   -4.38   +1.03
sur0.005/S V               31.0%   0.75     1.81 +0.645    -0.30   +6.92   +6.03   -2.29
sur0.005/S minRFG          31.0%   0.29     1.07 +0.832    -1.03   -8.85   -7.67   +1.70
sur0.01/G  act:jaccard:1   26.2%   0.02     0.89 +0.807    -1.24   -4.85   -3.98   +1.37
sur0.01/G  V               26.2%   0.71     1.66 +0.710    +0.21   +7.28   +6.50   -2.54
sur0.01/G  minRFG          26.2%   0.27     1.03 +0.868    -1.37   -9.10   -7.60   +2.10
sur0.01/S  act:jaccard:1   27.0%   0.01     0.89 +0.787    -1.41   -5.28   -4.66   +0.95
sur0.01/S  V               27.0%   0.74     1.84 +0.678    -0.23   +6.14   +5.09   -2.68
sur0.01/S  minRFG          27.0%   0.26     1.06 +0.866    -1.16   -8.86   -7.73   +1.65
sur0.02/G  act:jaccard:1   21.0%   0.01     0.86 +0.836    -1.13   -5.70   -4.55   +1.82
sur0.02/G  V               21.0%   0.68     1.68 +0.747    -0.04   +6.01   +5.44   -1.90
sur0.02/G  minRFG          21.0%   0.24     1.01 +0.892    -1.43   -9.02   -7.49   +2.15
sur0.02/S  act:jaccard:1   19.8%   0.01     0.96 +0.841    -1.40   -5.95   -5.11   +1.27
sur0.02/S  V               19.8%   0.70     1.63 +0.744    -0.72   +4.77   +3.92   -2.03
sur0.02/S  minRFG          19.8%   0.21     1.04 +0.893    -1.34   -8.70   -7.56   +1.64
sur0.05/G  act:jaccard:1   10.9%   0.01     0.90 +0.921    -1.01   -6.98   -5.87   +1.56
sur0.05/G  V               10.9%   0.52     1.36 +0.847    -0.67   +3.47   +2.54   -2.15
sur0.05/G  minRFG          10.9%   0.20     1.07 +0.929    -1.48   -8.86   -7.48   +1.95
sur0.05/S  act:jaccard:1   11.2%   0.00     0.88 +0.911    -1.29   -7.13   -6.04   +1.46
sur0.05/S  V               11.2%   0.54     1.43 +0.834    -0.75   +2.23   +1.37   -1.75
sur0.05/S  minRFG          11.2%   0.18     1.07 +0.923    -1.25   -8.60   -7.38   +1.66
sur0.1/G   act:jaccard:1    4.4%   0.00     0.94 +0.977    -1.06   -7.87   -6.82   +1.47
sur0.1/G   V                4.4%   0.37     1.20 +0.928    -0.89   -0.42   -0.71   -0.40
sur0.1/G   minRFG           4.4%   0.13     1.04 +0.973    -1.32   -8.60   -7.32   +1.79
sur0.1/S   act:jaccard:1    4.1%   0.00     0.98 +0.970    -1.19   -8.12   -6.98   +1.58
sur0.1/S   V                4.1%   0.36     1.31 +0.930    -0.61   -1.90   -1.96   +0.15
sur0.1/S   minRFG           4.1%   0.13     1.03 +0.970    -1.40   -8.51   -7.30   +1.62

-- boxed --
gate       alt              rate   varD bSE/live    rho z_margin  z(F-T)  z(F-K)  z(T-K)
jac0.1/G   act:jaccard:1    0.0%   0.00     1.01 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.1/G   V                0.0%   0.00     0.98 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.1/G   minRFG           0.0%   0.00     0.99 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.1/S   act:jaccard:1    0.0%   0.00     1.01 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.1/S   V                0.0%   0.00     1.02 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.1/S   minRFG           0.0%   0.00     0.94 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.2/G   act:jaccard:1    0.0%   0.00     0.97 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.2/G   V                0.0%   0.00     0.95 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.2/G   minRFG           0.0%   0.00     0.94 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.2/S   act:jaccard:1    0.0%   0.00     0.93 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.2/S   V                0.0%   0.00     1.01 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.2/S   minRFG           0.0%   0.00     0.97 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.3/G   act:jaccard:1    0.0%   0.00     0.93 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.3/G   V                0.0%   0.00     0.95 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.3/G   minRFG           0.0%   0.00     0.96 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.3/S   act:jaccard:1    0.0%   0.00     0.99 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.3/S   V                0.0%   0.00     0.94 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.3/S   minRFG           0.0%   0.00     0.96 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.4/G   act:jaccard:1    0.0%   0.00     0.90 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.4/G   V                0.0%   0.00     0.95 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.4/G   minRFG           0.0%   0.00     0.96 +1.000    -0.46   -5.88   -4.12   +3.54
jac0.4/S   act:jaccard:1    0.0%   0.00     0.99 +1.000    -0.46   -5.88   -4.12   +3.54
